timestamp,cell_id,rsrp,rsrq,sinr,cqi,prb_util,throughput_mbps,active_users,handover_sr,rlf_count,latency_ms,packet_loss_pct,alarm_count,critical_alarm,peak_hour,signal_quality_index,load_pressure_index,failure
2026-01-01 00:00:00,CELL_052,-98.67,-17.85,3.77,13,44.44,170.12,116,86.74,3,45.21,3.31,1,0,0,-23.2,62.45,0
2026-01-01 00:05:00,CELL_093,-97.29,-13.7,15.43,9,31.34,56.84,122,91.13,1,10.45,2.03,1,0,0,-15.85,50.87,0
2026-01-01 00:10:00,CELL_015,-92.53,-14.35,20.59,12,72.94,57.85,64,98.65,2,22.26,0.0,4,1,0,-12.52,63.1,0
2026-01-01 00:15:00,CELL_072,-112.25,-8.88,4.37,11,78.7,115.9,103,96.86,0,12.71,0.77,0,0,0,-22.93,74.88,0
2026-01-01 00:20:00,CELL_061,-92.73,-7.27,13.71,10,62.61,144.81,6,97.3,4,20.36,0.0,3,1,0,-13.87,42.12,0
2026-01-01 00:25:00,CELL_021,-102.86,-12.54,25.2,10,62.77,106.65,77,74.83,5,37.58,6.49,2,0,0,-11.73,62.55,1
2026-01-01 00:30:00,CELL_083,-99.08,-14.79,21.32,6,66.0,78.8,124,95.27,3,32.56,0.0,1,0,0,-13.59,75.48,0
2026-01-01 00:35:00,CELL_087,-111.59,-9.76,21.35,9,57.76,75.44,71,92.92,0,24.12,0.81,0,0,0,-14.57,56.02,0
2026-01-01 00:40:00,CELL_075,-96.7,-7.84,9.9,9,67.22,156.27,46,87.99,0,15.6,0.85,1,0,0,-16.74,54.17,0
2026-01-01 00:45:00,CELL_075,-95.3,-8.57,14.82,8,92.96,157.33,106,100.0,0,47.48,0.88,2,0,0,-14.22,89.4,0
2026-01-01 00:50:00,CELL_088,-97.94,-11.07,2.2,6,53.11,142.07,82,94.62,1,9.75,1.27,0,0,0,-21.81,53.83,0
2026-01-01 00:55:00,CELL_100,-109.69,-11.59,19.51,8,62.91,118.25,91,93.2,0,21.78,2.2,1,0,0,-15.66,63.76,0
2026-01-01 01:00:00,CELL_024,-82.24,-11.09,24.4,9,65.7,89.63,95,100.0,1,25.46,0.51,1,0,0,-7.58,66.99,0
2026-01-01 01:05:00,CELL_003,-100.11,-7.94,7.3,6,57.78,53.21,112,98.87,1,19.55,0.6,1,0,0,-18.75,65.6,0
2026-01-01 01:10:00,CELL_022,-108.61,-12.98,-0.84,6,69.22,67.42,117,88.28,3,45.9,4.49,6,1,0,-26.04,77.67,1
2026-01-01 01:15:00,CELL_053,-114.28,-11.96,15.81,4,23.0,48.67,97,91.19,5,16.4,0.0,0,0,0,-18.54,40.51,0
2026-01-01 01:20:00,CELL_002,-82.24,-12.03,16.92,11,78.31,109.49,120,92.72,3,15.05,0.27,3,1,0,-11.6,79.24,0
2026-01-01 01:25:00,CELL_088,-98.73,-12.2,12.75,13,50.5,136.3,84,100.0,0,28.92,1.19,4,1,0,-17.03,55.64,0
2026-01-01 01:30:00,CELL_030,-94.21,-13.66,11.11,10,52.87,122.3,95,91.58,3,22.73,0.59,1,0,0,-17.38,58.88,0
2026-01-01 01:35:00,CELL_038,-86.03,-7.62,11.17,9,64.99,169.57,86,92.08,1,24.47,1.98,0,0,0,-13.91,64.16,0
2026-01-01 01:40:00,CELL_002,-116.2,-14.34,9.48,6,42.99,126.26,50,83.05,5,39.77,3.38,2,0,0,-22.8,44.26,1
2026-01-01 01:45:00,CELL_064,-87.29,-9.77,19.52,3,91.96,62.46,130,100.0,2,28.98,2.09,3,1,0,-10.63,92.02,0
2026-01-01 01:50:00,CELL_060,-124.05,-17.13,6.22,10,53.17,115.21,87,83.41,5,41.09,3.96,5,1,0,-26.84,59.82,1
2026-01-01 01:55:00,CELL_021,-90.59,-12.19,15.13,12,100.0,116.28,133,100.0,3,28.08,0.3,0,0,0,-14.21,97.46,0
2026-01-01 02:00:00,CELL_033,-82.42,-11.28,5.44,8,79.34,137.48,99,94.95,1,22.37,0.0,0,0,0,-17.15,75.71,0
2026-01-01 02:05:00,CELL_076,-99.64,-9.64,21.2,13,57.77,149.66,98,100.0,3,37.51,0.0,2,0,0,-12.22,64.79,0
2026-01-01 02:10:00,CELL_058,-98.78,-16.14,9.21,8,62.48,136.52,114,85.34,7,52.1,1.23,3,1,0,-19.99,73.8,1
2026-01-01 02:15:00,CELL_022,-80.33,-13.85,13.38,13,70.67,102.97,94,91.1,1,5.0,1.42,2,0,0,-13.53,66.65,0
2026-01-01 02:20:00,CELL_089,-97.04,-10.95,17.53,8,98.58,168.31,67,97.29,2,36.21,0.41,0,0,0,-13.93,81.33,0
2026-01-01 02:25:00,CELL_049,-97.7,-12.92,10.94,2,85.11,149.28,81,89.19,5,36.95,0.0,1,0,0,-17.95,76.86,0
2026-01-01 02:30:00,CELL_091,-102.19,-7.14,13.5,12,83.75,29.33,120,88.43,2,29.89,0.7,2,0,0,-15.83,84.73,0
2026-01-01 02:35:00,CELL_059,-99.08,-11.65,16.65,7,62.5,146.71,107,97.83,3,32.28,0.73,3,1,0,-14.99,69.09,0
2026-01-01 02:40:00,CELL_042,-114.11,-14.44,-0.7,5,57.8,89.01,60,83.43,2,73.63,2.57,2,0,0,-27.5,60.72,1
2026-01-01 02:45:00,CELL_092,-102.19,-6.06,6.13,11,79.47,58.58,94,89.49,0,21.5,1.29,0,0,0,-19.19,74.41,0
2026-01-01 02:50:00,CELL_060,-85.41,-9.15,5.15,7,92.0,128.81,56,92.6,1,35.91,0.61,1,0,0,-17.25,74.59,0
2026-01-01 02:55:00,CELL_080,-101.32,-13.24,18.67,6,65.52,201.32,88,97.25,1,24.69,2.18,0,0,0,-14.9,65.02,0
2026-01-01 03:00:00,CELL_015,-92.93,-12.98,15.81,14,55.68,118.14,116,91.24,4,19.23,0.34,0,0,0,-14.58,65.29,0
2026-01-01 03:05:00,CELL_062,-94.69,-9.81,15.6,9,49.4,109.88,67,83.84,1,20.12,0.17,2,0,0,-14.08,49.41,0
2026-01-01 03:10:00,CELL_062,-95.94,-14.39,-0.94,6,37.88,123.38,82,75.11,6,28.7,1.95,3,1,0,-23.98,47.53,1
2026-01-01 03:15:00,CELL_047,-112.3,-11.94,4.13,9,59.96,203.67,57,76.29,5,47.23,3.76,4,1,0,-23.98,57.31,1
2026-01-01 03:20:00,CELL_062,-91.95,-12.66,13.6,15,63.42,110.62,103,98.25,2,20.99,1.27,3,1,0,-15.39,66.95,0
2026-01-01 03:25:00,CELL_051,-88.67,-9.25,12.4,10,67.64,154.42,89,99.09,3,25.9,0.31,2,0,0,-14.31,66.72,0
2026-01-01 03:30:00,CELL_055,-91.7,-20.0,2.79,8,77.75,106.07,66,86.05,6,43.36,1.8,2,0,0,-22.94,69.65,0
2026-01-01 03:35:00,CELL_064,-99.14,-11.39,17.78,12,59.56,99.68,98,100.0,4,13.01,0.0,0,0,0,-14.36,62.19,0
2026-01-01 03:40:00,CELL_003,-99.94,-12.54,26.5,9,100.0,169.43,84,94.51,0,23.24,0.0,2,0,0,-10.5,84.49,0
2026-01-01 03:45:00,CELL_051,-103.49,-12.14,19.39,8,47.5,81.41,100,94.09,1,18.12,2.2,2,0,0,-14.64,56.22,0
2026-01-01 03:50:00,CELL_007,-77.11,-11.26,21.15,8,80.29,146.13,57,93.84,3,34.61,0.1,2,0,0,-8.23,67.62,0
2026-01-01 03:55:00,CELL_021,-83.92,-8.15,22.63,13,46.05,108.04,75,95.57,1,25.19,0.08,2,0,0,-7.91,50.16,0
2026-01-01 04:00:00,CELL_073,-95.34,-13.89,11.42,11,52.69,93.5,89,97.03,3,23.18,1.45,0,0,0,-17.53,57.34,0
2026-01-01 04:05:00,CELL_039,-96.23,-17.84,1.85,14,73.06,105.37,106,86.57,7,42.18,3.87,3,1,0,-23.67,76.66,1
2026-01-01 04:10:00,CELL_018,-106.51,-17.27,1.13,11,86.79,41.2,56,78.51,6,35.22,6.25,3,1,0,-25.92,71.36,1
2026-01-01 04:15:00,CELL_004,-97.97,-9.86,6.89,15,62.97,83.25,88,72.05,4,47.5,3.63,3,1,0,-19.11,66.91,1
2026-01-01 04:20:00,CELL_089,-94.92,-15.11,13.43,12,69.52,124.69,115,95.56,0,17.3,1.81,1,0,0,-16.8,73.06,0
2026-01-01 04:25:00,CELL_060,-91.82,-12.43,11.77,9,90.73,111.33,87,93.25,4,21.13,0.35,4,1,0,-16.21,79.36,0
2026-01-01 04:30:00,CELL_014,-92.67,-8.9,17.34,10,46.0,86.9,75,90.52,1,20.51,0.0,2,0,0,-12.53,49.43,0
2026-01-01 04:35:00,CELL_009,-98.4,-11.15,18.6,15,81.86,171.86,69,99.82,0,30.48,0.0,0,0,0,-13.73,70.94,0
2026-01-01 04:40:00,CELL_090,-86.26,-8.18,8.16,14,55.6,85.23,69,99.69,0,23.53,0.87,2,0,0,-15.63,54.14,0
